,Date,Open,High,Low,Close,Volume,Adj Close,TickerSymbol
0,2023-10-26 00:00:00,27.479999542236328,28.280000686645508,27.415000915527344,28.059999465942383,28.059999465942383,149300.0,ASIX
1,2023-10-27 00:00:00,28.170000076293945,28.81999969482422,27.649999618530273,27.780000686645508,27.780000686645508,146300.0,ASIX
2,2023-10-30 00:00:00,28.18000030517578,28.280000686645508,27.75,27.969999313354492,27.969999313354492,100800.0,ASIX
3,2023-10-31 00:00:00,28.1299991607666,28.1299991607666,27.459999084472656,27.549999237060547,27.549999237060547,106800.0,ASIX
4,2023-11-01 00:00:00,27.360000610351562,27.809999465942383,26.860000610351562,27.229999542236328,27.229999542236328,186800.0,ASIX
5,2023-11-02 00:00:00,27.75,28.09000015258789,27.450000762939453,28.06999969482422,28.06999969482422,117300.0,ASIX
6,2023-10-26 00:00:00,124.47000122070312,125.45999908447266,122.31999969482422,123.44000244140625,123.44000244140625,33907400.0,GOOG
7,2023-10-27 00:00:00,124.02999877929688,124.44000244140625,121.45999908447266,123.4000015258789,123.4000015258789,37367700.0,GOOG
8,2023-10-30 00:00:00,124.45999908447266,126.55000305175781,123.87999725341797,125.75,125.75,24165600.0,GOOG
9,2023-10-31 00:00:00,126.2699966430664,126.55999755859375,123.92500305175781,125.30000305175781,125.30000305175781,21123400.0,GOOG
10,2023-11-01 00:00:00,125.33999633789062,127.73999786376953,124.92500305175781,127.56999969482422,127.56999969482422,26536600.0,GOOG
11,2023-11-02 00:00:00,129.55999755859375,130.08999633789062,128.11000061035156,128.5800018310547,128.5800018310547,24047600.0,GOOG
12,2023-10-26 00:00:00,123.2699966430664,124.33000183105469,121.2699966430664,122.27999877929688,122.27999877929688,57061100.0,GOOGL
13,2023-10-27 00:00:00,122.87999725341797,123.30999755859375,120.20999908447266,122.16999816894531,122.16999816894531,44566500.0,GOOGL
14,2023-10-30 00:00:00,123.20999908447266,125.4000015258789,122.75,124.45999908447266,124.45999908447266,28940100.0,GOOGL
15,2023-10-31 00:00:00,125.05999755859375,125.37000274658203,122.69000244140625,124.08000183105469,124.08000183105469,26292300.0,GOOGL
16,2023-11-01 00:00:00,124.06999969482422,126.48999786376953,123.72000122070312,126.44999694824219,126.44999694824219,30082400.0,GOOGL
17,2023-11-02 00:00:00,128.4199981689453,128.97999572753906,126.93000030517578,127.48999786376953,127.48999786376953,27092700.0,GOOGL
18,2023-10-26 00:00:00,120.62999725341797,121.63999938964844,118.3499984741211,119.56999969482422,119.56999969482422,100419500.0,AMZN
19,2023-10-27 00:00:00,126.19999694824219,130.02000427246094,125.5199966430664,127.73999786376953,127.73999786376953,125309300.0,AMZN
20,2023-10-30 00:00:00,129.72000122070312,133.0,128.55999755859375,132.7100067138672,132.7100067138672,72485500.0,AMZN
21,2023-10-31 00:00:00,132.75,133.57000732421875,131.7100067138672,133.08999633789062,133.08999633789062,51589400.0,AMZN
22,2023-11-01 00:00:00,133.9600067138672,137.35000610351562,133.7100067138672,137.0,137.0,61529400.0,AMZN
23,2023-11-02 00:00:00,138.72999572753906,138.80999755859375,136.47000122070312,138.07000732421875,138.07000732421875,52136000.0,AMZN
24,2023-10-26 00:00:00,170.3699951171875,171.3800048828125,165.6699981689453,166.88999938964844,166.88999938964844,70625300.0,AAPL
25,2023-10-27 00:00:00,166.91000366210938,168.9600067138672,166.8300018310547,168.22000122070312,168.22000122070312,58499100.0,AAPL
26,2023-10-30 00:00:00,169.02000427246094,171.1699981689453,168.8699951171875,170.2899932861328,170.2899932861328,51131000.0,AAPL
27,2023-10-31 00:00:00,169.35000610351562,170.89999389648438,167.89999389648438,170.77000427246094,170.77000427246094,44846000.0,AAPL
28,2023-11-01 00:00:00,171.0,174.22999572753906,170.1199951171875,173.97000122070312,173.97000122070312,56934900.0,AAPL
29,2023-11-02 00:00:00,175.52000427246094,177.77999877929688,175.4600067138672,177.57000732421875,177.57000732421875,76083900.0,AAPL
30,2023-10-26 00:00:00,15.170000076293945,15.289999961853027,14.979999542236328,15.119999885559082,15.119999885559082,41165100.0,T
31,2023-10-27 00:00:00,15.100000381469727,15.180000305175781,14.739999771118164,14.819999694824219,14.819999694824219,35849200.0,T
32,2023-10-30 00:00:00,14.949999809265137,15.380000114440918,14.90999984741211,15.260000228881836,15.260000228881836,41832200.0,T
33,2023-10-31 00:00:00,15.279999732971191,15.4399995803833,15.25,15.399999618530273,15.399999618530273,33688400.0,T
34,2023-11-01 00:00:00,15.489999771118164,15.699999809265137,15.430000305175781,15.579999923706055,15.579999923706055,41502800.0,T
35,2023-11-02 00:00:00,15.619999885559082,15.779999732971191,15.5600004196167,15.729999542236328,15.729999542236328,35732300.0,T
36,2023-10-26 00:00:00,2795.550048828125,2818.719970703125,2733.0400390625,2742.68994140625,2742.68994140625,289200.0,BKNG
37,2023-10-27 00:00:00,2747.43994140625,2784.590087890625,2737.260009765625,2746.159912109375,2746.159912109375,209800.0,BKNG
38,2023-10-30 00:00:00,2768.219970703125,2812.909912109375,2766.64990234375,2788.25,2788.25,209900.0,BKNG
39,2023-10-31 00:00:00,2798.77001953125,2803.909912109375,2765.02001953125,2789.56005859375,2789.56005859375,218300.0,BKNG
40,2023-11-01 00:00:00,2803.0,2813.1298828125,2756.1298828125,2766.22998046875,2766.22998046875,310500.0,BKNG
41,2023-11-02 00:00:00,2807.010009765625,2843.9599609375,2756.389892578125,2838.6201171875,2838.6201171875,504000.0,BKNG
42,2023-10-26 00:00:00,81.05000305175781,81.41999816894531,79.97000122070312,80.2699966430664,80.2699966430664,1132100.0,CF
